|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| ICAO | IATA | Airport_name                                             | Community                     | Province_or_territory |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGAF | AFT  | Afutara Airport                                          | Afutara                       | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGAR | RNA  | Ulawa Airport                                            | Arona                         | Ulawa Island          |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGAT | ATD  | Uru Harbour Airport (Atoifi Airport)                     | Atoifi                        | Malaita               |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGBA | VEV  | Barakoma Airport                                         | Barakoma                      | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGBT | BPF  | Batuna Airport                                           | Batuna                        | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGEV | GEF  | Geva Airport                                             | Geva                          | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGA | AKS  | Auki Gwaunaru'u Airport                                  | Auki                          | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGB | BNY  | Bellona/Anua Airport                                     | Bellona/Anua                  | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGC | CHY  | Choiseul Bay Airport                                     | Choiseul Bay                  | Taro Island           |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGD | MBU  | Mbambanakira Airport                                     | Mbambanakira                  | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGE | BAS  | Balalae Airport                                          | Shortland Island              | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGF | FRE  | Fera/Maringe Airport                                     | Fera Island                   | Santa Isabel Island   |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGG | –    | Honiara FIR                                              | Honiara                       | Guadalcanal           |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGH | HIR  | Honiara International Airport (formerly Henderson Field) | Honiara                       | Guadalcanal           |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGI | –    | Babanakira Airport                                       | Babanakira                    | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGJ | AVU  | Avu Avu Airport                                          | Avu Avu                       | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGK | IRA  | Kirakira Airport                                         | Kirakira                      | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGL | SCZ  | Santa Cruz/Graciosa Bay/Luova Airport                    | Santa Cruz/Graciosa Bay/Luova | Santa Cruz Island     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGM | MUA  | Munda Airport                                            | Munda                         | New Georgia Island    |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGN | GZO  | Nusatupe Airport                                         | Gizo Island                   | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGO | MNY  | Mono Airport                                             | Mono Island                   | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGP | PRS  | Marau Sound Airport                                      | Marau Sound                   | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGQ | OTV  | Ontong Java Airport                                      | Ontong Java                   | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGR | RNL  | Rennell/Tingoa Airport                                   | Rennell/Tingoa                | Rennell Island        |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGS | EGM  | Seghe Airport                                            | Seghe                         | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGT | NNB  | Santa Ana Airport                                        | Santa Ana                     | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGU | RUS  | Marau Airport                                            | Marau Sound Island            | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGV | VAO  | Suavanao Airport                                         | Suavanao                      | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGGY | XYA  | Yandina Airport                                          | Yandina                       | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGIN | –    | Isuna Heliport                                           | Isuna                         | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGKG | KGE  | Kaghau Airport                                           | Kaghau Island                 | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGKU | KUE  | Kukudu Airport                                           | Kukudu                        | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGLM | LLM  | Lomlom Airport                                           | Lomlom                        | Temotu                |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGOK | GTA  | Gatokae Aerodrome                                        | Gatokae                       | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGRC | RIN  | Ringgi Cove Airport[1]                                   | Ringgi Cove                   | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGRM | RBV  | Ramata Airport                                           | Ramata Island                 | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
| AGTI | TLG  | Tulaghi Heliport                                         | Tulagi                        | –                     |
|------|------|----------------------------------------------------------|-------------------------------|-----------------------|
