Airport Name
"Balalae, Shortland Island"
"Barora, New Georgia Island"
"Batuna, Vangunu Island"
"Gatokae (Nggatokae Island), New Georgia Islands"
"Geva, Vella Lavella Island"
"Gizo, Ghizo Island"
"Kukudu (Kukundu), Kolombangara"
"Mono Island, Treasury Islands"
"Munda, New Georgia Island"
Ramata Airport (Ramata Island)
"Ringgi Cove, Kolombangara"
"Seghe, New Georgia Island"
"Viru, New Georgia Island"
"Lomlom, Reef Islands"
"Santa Cruz Islands, Nendo Island"
"Anua, Bellona Island"
"Tingoa, Rennell Island"
"Afutara, Malaita Island"
"Atoifi, Malaita Island"
"Auki, Malaita Island"
Kwai Harbour
Onepusu
Ontong Java
Parasi
Tarapaina
"Arona, Ulawa Island"
"Kirakira, Makira Island"
Santa Ana Island (Owaraha)
"Maringe, Fera Island (near Santa Isabel Island)"
"Suavanao, Santa Isabel Island"
Avu Avu
"Honiara, Guadalcanal Island"
"Marau, Guadalcanal Island"
"Parasi, Marau Sound Island"
"Mbambanakira, Guadalcanal Island"
"Choiseul Bay, Taro Island"
Kaghau Island
"Yandina, Mbanika Island, Russell Islands"
"Anuha Island, Nggela Islands"
Savo Island
Tulagi Island (Tulaghi)
