ICAO,IATA,Airport_name,Community,Province_or_territory
AYAA,RNA,Ama Airport,Ama,Ama
AYBK,ATD,Bulolo Airport,Bulolo,Bulolo
AYDU,VEV,Daru Airport,Daru,
AYGA,BPF,Gurney Airport,Alotau,
AYHK,HKN,Hoskins Airport,Kimbe,Kimbe
AYIQ,LSA,Losuia Airport,Kiriwina,
AYKK,KRI,Kikori Airport,Kikori,
AYKM,KZF,Kaintiba Airport,Kaintiba,
AYKY,,Kunaye Airport,Kunaye,
AYLA,MAG,Madang Airport,Madang,
AYMN,MDU,Mendi Airport,Mendi,
AYMO,MXH,Moro Airport,Moro,
AYNZ,LAE,Lae Nadzab Airport,Lae,Nabzab
AYPY,POM,Jacksons International Airport,Port Moresby,
AYRB,RAB,Rabaul Airport (old) (destroyed),"Rabaul, New Britain",
AYTB,TBG,Tabubil Airport,Tabubil,Tabulil
AYTK,TRJ,Tarakbits Airport,Tarakbits,
AYWD,WBM,Wapenamanda Airport,Wapenamanda,
AYWK,WWK,Wewak International Airport,Wewak,
