|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| ICAO | IATA | Airport Name                                                                                                      | Community                                 | Province or territory |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAB | YAB  | Arctic Bay Airport                                                                                                | Arctic Bay                                | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAC | YAC  | Cat Lake Airport                                                                                                  | Cat Lake First Nation                     | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAD | YAR  | La Grande-3 Airport                                                                                               | La Grande-3 generating station            | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAG | YAG  | Fort Frances Municipal Airport                                                                                    | Fort Frances                              | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAH | YAH  | La Grande-4 Airport                                                                                               | La Grande-4 generating station            | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAL | YAL  | Alert Bay Airport                                                                                                 | Alert Bay                                 | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAM | YAM  | Sault Ste. Marie Airport                                                                                          | Sault Ste. Marie                          | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAQ | XKS  | Kasabonika Airport                                                                                                | Kasabonika Lake First Nation              | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAS | YKG  | Kangirsuk Airport                                                                                                 | Kangirsuk                                 | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAT | YAT  | Attawapiskat Airport                                                                                              | Attawapiskat First Nation                 | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAU |      | South Shore Regional Airport (Liverpool/South Shore Regional Airport)                                             | Liverpool                                 | NS                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAV |      | St. Andrews Airport (Winnipeg/St. Andrews Airport)                                                                | Rural Municipality of St. Andrews         | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAW | YAW  | CFB Shearwater (Halifax/Shearwater Heliport)                                                                      | Shearwater                                | NS                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAX |      | Lac du Bonnet Airport                                                                                             | Lac du Bonnet                             | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAY | YAY  | St. Anthony Airport                                                                                               | St. Anthony                               | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYAZ | YAZ  | Tofino/Long Beach Airport                                                                                         | Tofino                                    | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYB3 |      | Nelson/Baylock Estate Heliport                                                                                    | Nelson, British Columbia                  | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBA |      | Banff Airport                                                                                                     | Banff                                     | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBB | YBB  | Kugaaruk Airport                                                                                                  | Kugaaruk                                  | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBC | YBC  | Baie-Comeau Airport                                                                                               | Baie-Comeau                               | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBD | QBC  | Bella Coola Airport                                                                                               | Bella Coola                               | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBE | YBE  | Uranium City Airport                                                                                              | Uranium City                              | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBF |      | Bonnyville Airport                                                                                                | Bonnyville                                | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBG | YBG  | CFB Bagotville (Bagotville Airport)                                                                               | La Baie                                   | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBK | YBK  | Baker Lake Airport                                                                                                | Baker Lake                                | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBL | YBL  | Campbell River Airport                                                                                            | Campbell River                            | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBN |      | CFB Borden (Borden Heliport)                                                                                      |                                           | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBP |      | Brooks Regional Aerodrome                                                                                         | Brooks                                    | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBQ | XTL  | Tadoule Lake Airport                                                                                              | Tadoule Lake                              | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBR | YBR  | Brandon Municipal Airport (McGill Field)                                                                          | Brandon                                   | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBT | YBT  | Brochet Airport                                                                                                   | Brochet                                   | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBU | YBU  | Nipawin Airport                                                                                                   | Nipawin                                   | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBV | YBV  | Berens River Airport                                                                                              | Berens River                              | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBW | YBW  | Calgary/Springbank Airport (Springbank Airport)                                                                   | Springbank                                | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYBX | YBX  | Lourdes-de-Blanc-Sablon Airport                                                                                   | Blanc-Sablon                              | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCB | YCB  | Cambridge Bay Airport                                                                                             | Cambridge Bay                             | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCC | YCC  | Cornwall Regional Airport                                                                                         | Cornwall                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCD | YCD  | Nanaimo Airport                                                                                                   | Nanaimo                                   | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCE | YCE  | Centralia/James T. Field Memorial Aerodrome                                                                       | Centralia                                 | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCG | YCG  | West Kootenay Regional Airport (Castlegar/West Kootenay Regional Airport)                                         | Castlegar                                 | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCH | YCH  | Miramichi Airport                                                                                                 | Miramichi                                 | NB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCK | XCM  | Chatham-Kent Airport                                                                                              | Chatham-Kent                              | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCL | YCL  | Charlo Airport                                                                                                    | Charlo                                    | NB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCN | YCN  | Cochrane Aerodrome                                                                                                | Cochrane                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCO | YCO  | Kugluktuk Airport                                                                                                 | Kugluktuk                                 | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCP | YCP  | Blue River Airport                                                                                                | Blue River                                | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCQ | YCQ  | Chetwynd Airport                                                                                                  | Chetwynd                                  | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCR | YCR  | Cross Lake (Charlie Sinclair Memorial) Airport                                                                    | Cross Lake                                | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCS | YCS  | Chesterfield Inlet Airport                                                                                        | Chesterfield Inlet                        | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCT |      | Coronation Airport                                                                                                | Coronation                                | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCW | YCW  | Chilliwack Airport                                                                                                | Chilliwack                                | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCX | YCX  | CFB Gagetown (Gagetown Heliport)                                                                                  | Oromocto                                  | NB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCY | YCY  | Clyde River Airport                                                                                               | Clyde River                               | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYCZ | YCZ  | Fairmont Hot Springs Airport                                                                                      | Fairmont Hot Springs                      | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYD2 |      | Graham Lake (Yellow Dog Lodge) Water Aerodrome                                                                    | Graham Lake                               | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDA | YDA  | Dawson City Airport                                                                                               | Dawson City                               | YT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDB | YDB  | Burwash Airport                                                                                                   | Burwash Landing                           | YT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDC |      | Princeton Aerodrome                                                                                               | Princeton                                 | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDF | YDF  | Deer Lake Regional Airport                                                                                        | Deer Lake                                 | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDH |      | Ottawa/Dwyer Hill Heliport                                                                                        | Ottawa                                    | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDL | YDL  | Dease Lake Airport                                                                                                | Dease Lake                                | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDM | XRR  | Ross River Airport                                                                                                | Ross River                                | YT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDN | YDN  | Lt. Col W.G. (Billy) Barker VC Airport (Dauphin (Lt. Col W.G. (Billy) Barker VC) Airport)                         | Dauphin                                   | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDO | YDO  | Dolbeau-Saint-Félicien Airport                                                                                    | Dolbeau-Mistassini                        | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDP | YDP  | Nain Airport                                                                                                      | Nain                                      | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYDQ | YDQ  | Dawson Creek Airport                                                                                              | Dawson Creek                              | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEA |      | Empress Airport                                                                                                   | Empress                                   | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYED | YED  | CFB Edmonton (Edmonton/Namao Heliport)                                                                            | Edmonton                                  | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEE | YEE  | Midland/Huronia Airport                                                                                           | Midland                                   | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEG | YEG  | Edmonton International Airport                                                                                    | Nisku                                     | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEK | YEK  | Arviat Airport                                                                                                    | Arviat                                    | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEL | YEL  | Elliot Lake Municipal Airport                                                                                     | Elliot Lake                               | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEM | YEM  | Manitowaning/Manitoulin East Municipal Airport                                                                    | Manitowaning                              | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEN | YEN  | Estevan Regional Aerodrome                                                                                        | Estevan                                   | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYER | YER  | Fort Severn Airport                                                                                               | Fort Severn First Nation                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYES |      | Edmundston Airport                                                                                                | Edmundston                                | NB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYET | YET  | Edson Airport                                                                                                     | Edson                                     | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEU | YEU  | Eureka Aerodrome                                                                                                  | Eureka                                    | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEV | YEV  | Inuvik (Mike Zubko) Airport                                                                                       | Inuvik                                    | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
