|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| ICAO | IATA | Airport Name                                           | Community                           | Province or territory |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZAC | ZAC  | York Landing Airport                                   | York Factory First Nation           | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZAM | YSN  | Salmon Arm Airport                                     | Salmon Arm                          | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZBA |      | Burlington Executive Airport                           | Burlington                          | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZBB | YDT  | Boundary Bay Airport (Vancouver/Boundary Bay Airport   | Delta                               | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZBD | ILF  | Ilford Airport                                         | Ilford                              | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZBF | ZBF  | Bathurst Airport                                       | Bathurst                            | NB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZBM | ZBM  | Roland-Désourdy Airport                                | Bromont                             | QC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZEE | KES  | Kelsey Airport                                         | Kelsey                              | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZEM | ZEM  | Eastmain River Airport                                 | Eastmain                            | QC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZF2 |      | Zephyr/Dillon Field Aerodrome                          | Zephyr                              | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZFA | ZFA  | Faro Airport                                           | Faro                                | YT                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZFD | ZFD  | Fond-du-Lac Airport                                    | Fond du Lac Denesuline First Nation | SK                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZFG | XPK  | Pukatawagan Airport                                    | Pukatawagan                         | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZFM | ZFM  | Fort McPherson Airport                                 | Fort McPherson                      | NT                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZFN | ZFN  | Tulita Airport                                         | Tulita                              | NT                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZGF | ZGF  | Grand Forks Airport                                    | Grand Forks                         | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZGI | ZGI  | Gods River Airport                                     | Manto Sipi Cree Nation              | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZGR | ZGR  | Little Grand Rapids Airport                            | Little Grand Rapids                 | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZHP |      | High Prairie Airport                                   | High Prairie                        | AB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZJG | ZJG  | Jenpeg Airport                                         | Jenpeg                              | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZJN | ZJN  | Swan River Airport                                     | Swan River                          | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZKE | ZKE  | Kashechewan Airport                                    | Kashechewan First Nation            | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZLQ | YTD  | Thicket Portage Airport                                | Thicket Portage                     | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZMD | MSA  | Muskrat Dam Airport                                    | Muskrat Dam Lake First Nation       | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZML | ZMH  | South Cariboo Regional Airport (108 Mile Ranch Airport | 108 Mile Ranch                      | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZMN | PIW  | Pikwitonei Airport                                     | Pikwitonei                          | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZMT | ZMT  | Masset Airport                                         | Masset                              | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZNG | XPP  | Poplar River Airport                                   | Poplar River First Nation           | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZNL |      | Nelson Airport                                         | Nelson                              | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZPB | ZPB  | Sachigo Lake Airport                                   | Sachigo Lake First Nation           | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZPC |      | Pincher Creek Airport                                  | Pincher Creek                       | AB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZPO |      | Pinehouse Lake Airport                                 | Pinehouse                           | SK                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZRJ | ZRJ  | Round Lake (Weagamow Lake) Airport                     | North Caribou Lake First Nation     | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZSJ | ZSJ  | Sandy Lake Airport                                     | Sandy Lake First Nation             | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZSN | XSI  | South Indian Lake Airport                              | South Indian Lake                   | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZST | ZST  | Stewart Aerodrome                                      | Stewart                             | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZSW | ZSW  | Prince Rupert/Seal Cove Water Aerodrome                | Prince Rupert                       | BC                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZTA | YDV  | Bloodvein River Airport                                | Bloodvein First Nation              | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZTM | ZTM  | Shamattawa Airport                                     | Shamattawa First Nation             | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZUC | ZUC  | Ignace Municipal Airport                               | Ignace                              | ON                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZUM | ZUM  | Churchill Falls Airport                                | Churchill Falls                     | NL                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZVL | ZVL  | Edmonton/Villeneuve Airport (Villeneuve Airport)       | Villeneuve                          | AB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZWH | XLB  | Lac Brochet Airport                                    | Lac Brochet                         | MB                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
| CZWL | ZWL  | Wollaston Lake Airport                                 | Hatchet Lake Dene Nation            | SK                    |
|------|------|--------------------------------------------------------|-------------------------------------|-----------------------|
