|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| ICAO | IATA      | Airport Name                             | Community             | Province or Territory           |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNAA | ABV       | Nnamdi Azikiwe International Airport     | Abuja                 | Federal Capital Territory (FCT) |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNAK | AKR       | Akure Airport                            | Akure                 | Ondo State                      |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNAI | QUO       | Akwa Ibom International Airport          | Uyo                   | Akwa Ibom State                 |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNAS | ABB       | Asaba International Airport              | Asaba and Delta State | Delta State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNBE | BNI       | Benin Airport                            | Benin City            | Edo State                       |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNBI |           | Bida Airstrip                            | Bida                  | Niger State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNBK |           | Sir Ahmadu Bello International Airport   | Birnin Kebbi          | Kebbi State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNCA | CBQ       | Margaret Ekpo International Airport      | Calabar               | Cross River State               |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNDS | (pending) | Dutse International Airport              | Dutse                 | Jigawa State                    |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNEN | ENU       | Akanu Ibiam International Airport        | Enugu                 | Enugu State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNGU | QUS       | Gusau Airstrip                           | Gusau                 | Zamfara State                   |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNIB | IBA       | Ibadan Airport                           | Ibadan                | Oyo State                       |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNIL | ILR       | Ilorin International Airport             | Ilorin                | Kwara State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNIM | QOW       | Sam Mbakwe International Cargo Airport   | Owerri                | Imo State                       |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNJO | JOS       | Jos Airport                              | Jos                   | Plateau State                   |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNKA | KAD       | Kaduna International Airport             | Kaduna                | Kaduna State                    |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNKN | KAN       | Mallam Aminu Kano International Airport  | Kano                  | Kano State                      |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNMA | MIU       | Maiduguri International Airport          | Maiduguri             | Borno State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNMK | MDI       | Makurdi Air Force Base                   | Makurdi               | Benue State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNMM | LOS       | Murtala Mohammed International Airport   | Ikeja                 | Lagos State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNMN | MXJ       | Minna Airport                            | Minna                 | Niger State                     |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNOS |           | Osogbo Airstrip                          | Osogbo                | Osun State                      |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNPO | PHC       | Port Harcourt International Airport      | Port Harcourt         | Rivers State                    |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNSO | SKO       | Sadiq Abubakar III International Airport | Sokoto                | Sokoto State                    |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNYO | YOL       | Yola Airport                             | Yola                  | Adamawa State                   |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
| DNZA | ZAR       | Zaria Airport                            | Zaria                 | Kaduna State                    |
|------|-----------|------------------------------------------|-----------------------|---------------------------------|
