ICAO,IATA,Airport Name,Community
DTKA,TBJ,Tabarka–Ain Draham International Airport,Tabarka
DTMB,MIR,Monastir - Habib Bourguiba International Airport,Monastir
DTNH,NBE,Enfidha – Hammamet International Airport,Enfidha
DTTA,TUN,Tunis - Carthage International Airport,Tunis
DTTB,OIZ,Bizerte-Sidi Ahmed Air Base,Bizerte
DTTF,GAF,Gafsa - Ksar International Airport,Gafsa
DTTG,GAE,Gabès - Matmata International Airport,Gabès
DTTJ,DJE,Djerba - Zarzis International Airport,Djerba
DTTX,SFA,Thyna/El Maou Airport,Sfax
DTTZ,TOE,Tozeur - Nefta International Airport,Tozeur
