ICAO,IATA,Airport Name,Community
EBAL,,Aalst Hospital Heliport,Aalst
EBBA,,Baudour Heliport,Douvrain
EBEU,,Universitair Ziekenhuis Antwerpen Hospital Heliport,Edegem
EBGA,,UZ Leuven Hospital Heliport,Leuven
EBGE,,Grand Hôpital de Charleroi (GHDC Asbl) Heliport,Loverval
EBGT,,Ghent/Industry Zone Heliport,Ghent
EBKG,,AZ Groeninge Heliport,Kortrijk
EBLC,,CHR de La Citadelle Hospital Heliport,Liège
EBLS,,Centre Hospitalier Heliport,Liège
EBMD,,Antwerp/Middelheim Hospital Heliport,Antwerp
EBMS,,Centre Médical Héliporté ASBL (CMH) Heliport,Lierneux
EBMT,,Centre Hospitalier Universitaire A. Vésale Heliport,Montigny-le-Tilleul
EBNB,,Clinique Saint-Luc Bouge Heliport,Namur
EBSJ,,Bruges/Sint-Pieters Hospital Heliport,Sint-Pieters
EBSS,,Sint-Lucas Hospital Heliport,Bruges
EBUB,,Erasmus Hospital Heliport,Anderlecht
EBUC,,Cliniques Universitaires Saint-Luc Hospital Heliport,Woluwe-Saint-Lambert
EBVS,,Veurne/Sint-Augustinus Heliport,Veurne
EBYP,,Regionaal Ziekenhuis Jan Yperman VZW Hospital Heliport,Ypres
