ICAO,IATA,Airport Name,Community
EBBT,,Brasschaat Airfield,Brasschaat
EBCF,,Cerfontaine Airfield,Cerfontaine
EBGB,,Grimbergen Airfield,Grimbergen
EBGG,,Overboelare Airfield,Geraardsbergen/Overboelare
EBHN,,Hoevenen Airfield,Hoevenen
EBKH,,Balen-Keiheuvel Aerodrome,Balen
EBLE,,Leopoldsburg/Beverlo Airfield,Leopoldsburg/Beverlo
EBMO,,Moorsele Airfield,Moorsele
EBNM,,Namur-Suarlée Airfield,Namur
EBSG,,Saint-Ghislain Airfield,Saint-Ghislain
EBSH,,Saint-Hubert Airfield,Saint-Hubert
EBSL,,Zutendaal Air Base,Zutendaal
EBSP,,Spa-La Sauvenière Airfield,Spa
EBST,,Sint-Truiden / Brustem Airfield,Brustem/Sint-Truiden
EBTN,,Goetsenhoven Airfield,Goetsenhoven
EBTX,,Verviers-Theux Airfield,Theux
EBTY,,Maubray Airfield,Tournai
EBZH,,Kiewit Airfield,Hasselt
EBZR,OBL,Oostmalle Airfield,Zoersel/Oostmalle
EBZW,,Zwartberg Airfield,Genk
