ICAO,IATA,Airport Name,Community
EBAM,,Amougies Airfield,Amougies
EBAR,,Arlon-Sterpenich Aerodrome,Arlon
EBAV,,Avernas-le-Bauduin Airfield,Hannut
EBBN,,Büllingen Airfield,Büllingen
EBBY,,Baisy-Thy Airfield,Genappe
EBBZ,,Buzet Airfield,Pont-à-Celles
EBIS,,Ath/Isières Airfield,Ath
EBLN,,Liernu Airfield,Éghezée
EBMG,,Doische-Matagne Airfield,Doische
EBML,,Maillen Airfield,Assesse
EBNE,,Neerpelt Airfield,Neerpelt
EBOR,,Orchimont Airfield,Vresse-sur-Semois
EBZU,,Zuienkerke Airfield,Zuienkerke
