|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| ICAO | IATA | Airport Name                                                            | Community                      | Province or Territory  | Notes                                                                                                      |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAC | AOC  | Leipzig-Altenburg Airport                                               | Altenburg/Leipzig              |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAD |      | Flugplatz Dessau                                                        | Dessau                         |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAH |      | Heringsdorf Airport (Flugplatz Heringsdorf)                             | Heringsdorf                    |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAP |      | Cottbus-Neuhausen Airport                                               | Cottbus                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAV |      | Flugplatz Finow                                                         | Finow                          |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAX |      | Rechlin-Lärz Airfield                                                   | Rechlin                        |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAY |      | Flugplatz Strausberg                                                    | Strausberg                     | Brandenburg            |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDAZ |      | Schönhagen Airport                                                      | Trebbin                        | Brandenburg            |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDBC | CSO  | Magdeburg–Cochstedt Airport                                             | Magdeburg                      |                        |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDBG | GWW  | Gatow Airfield                                                          | Berlin-Gatow                   |                        | closed for public traffic in 1994                                                                          |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDBH | BBH  | Stralsund-Barth Airport                                                 | Barth                          | Mecklenburg-Vorpommern |                                                                                                            |
|------|------|-------------------------------------------------------------------------|--------------------------------|------------------------|------------------------------------------------------------------------------------------------------------|
| EDBM | ZMG  | Magdeburg City Airport                                                  | Magdeburg                      |                        |                                                                                                            |
