|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ICAO | IATA | Airport Name                                           | Community         | Province or Territory | Notes                                               |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETAD | SPM  | Spangdahlem Air Base                                   | Spangdahlem       |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETAR | RMS  | Ramstein Air Base                                      | Ramstein          |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETBB |      | Cologne Butzweilerhof Airport                          | Cologne           |                       | closed                                              |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETEB |      | Ansbach Army Heliport                                  | Ansbach           |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETEJ |      | Bamberg-Breitenau Airfield                             | Bamberg           |                       | see EDQA                                            |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETEK |      | Baumholder Army Airfield                               | Baumholder        |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHA |      | Altenstadt Air Base                                    | Altenstadt        |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHB |      | Bückeburg Air Base                                     | Bückeburg         |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHC | ZCN  | Celle Air Base                                         | Celle             |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHE | ZPQ  | Rheine-Bentlage Air Base                               | Rheine            |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHF | FRZ  | Fritzlar Air Base                                      | Fritzlar          |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHL |      | Laupheim Air Base                                      | Laupheim          |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHM |      | Mendig Air Base                                        | Mendig            |                       | now Mendig Airfield - EDRE                          |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHN |      | Niederstetten Air Base                                 | Niederstetten     |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
| ETHR |      | Roth Air Base                                          | Roth              |                       |                                                     |
|------|------|--------------------------------------------------------|-------------------|-----------------------|-----------------------------------------------------|
