ICAO,IATA,Airport Name,Community,Province or Territory,Notes
EGAA,BFS,Belfast International Airport,"Aldergrove, near Belfast",Northern Ireland,
EGAB,ENK,Enniskillen/St Angelo Airport,Enniskillen,Northern Ireland,
EGAC,BHD,George Best Belfast City Airport,Belfast,Northern Ireland,
EGAD,,Newtownards Airport,Newtownards,Northern Ireland,
EGAE,LDY,City of Derry Airport,Derry,Northern Ireland,
EGAH,,Halley Research Station,Brunt Ice Shelf,Antarctica,
EGAL,,RAF Langford Lodge,,,
EGAR,,Rothera Research Station,Adelaide Island,Antarctica,
EGBB,BHX,Birmingham Airport,Birmingham,England,
EGBC,,Cheltenham Racecourse Heliport,Cheltenham Racecourse,England,
EGBD,,Derby Airfield,Derby,England,
EGBE,CVT,Coventry Airport,Coventry,England,
EGBF,,Bedford Aerodrome,Thurleigh,England,
EGBG,,Leicester Airport,Leicester,England,
EGBJ,GLO,Gloucestershire Airport,Staverton,England,
EGBK,ORM,Sywell Aerodrome,Northampton,England,
EGBL,,RAF Long Marston,,,
EGBM,,Tatenhill Airfield,Tatenhill,England,
EGBN,NQT,Nottingham Airport,Nottingham,England,
EGBO,,Wolverhampton Airport,Wolverhampton,England,
EGBP,GBA,Cotswold Airport,Kemble,England,
EGBS,,Shobdon Aerodrome,Leominster,England,
EGBT,,Turweston Aerodrome,Turweston,England,
EGBV,,Silverstone Heliport,Silverstone,England,
EGBW,,Wellesbourne Mountford Airfield,Wellesbourne,England,
EGCA,,Coal Aston Airfield,Coal Aston,England,
EGCB,,City Airport Manchester,Manchester,England,
EGCC,MAN,Manchester Airport,Manchester,England,
EGCD,,Woodford Aerodrome,Stockport,England,closed 2012
EGCE,,RAF Wrexham,,,
EGCF,,Sandtoft Airfield,Scunthorpe,England,
EGCG,,Strubby Airfield,Strubby,England,
EGCH,,Holyhead (Heliport),,,
EGCI,,Doncaster Airfield,Doncaster,England,closed 1992
EGCJ,,Sherburn-in-Elmet Airfield,Sherburn-in-Elmet,England,
EGCK,,Caernarfon Airport,Caernarfon,Wales,
EGCL,,Fenland Airfield,Spalding,England,
EGCM,,Leeds East Airport,Church Fenton,England,
EGCN,DSA,Doncaster Sheffield Airport,South Yorkshire,England,
EGCO,,Birkdale Sands Beach Runway Airport,Southport,England,
EGCP,,Thorne,,,
EGCR,,Ashcroft Airfield,Winsford,England,
EGCR,,Croydon Airport,London,England,closed 1959
EGCS,,Sturgate Airfield,Lincoln,England,
EGCT,,Tilstock,,,
EGCV,,Sleap Airfield,Shrewsbury,England,
EGCW,,Welshpool Airport,Welshpool,Wales,
EGDA,,RAF Brawdy,Pembrokeshire,Wales,
EGDB,,Mountwise,,,
EGDC,,Royal Marines Base Chivenor,Braunton,England,
EGDD,,Bicester Airfield,Oxfordshire,England,
EGDF,,Alfens (mobile),,,
EGDH,,HQ 2 Group (MOD),,,
EGDI,,RAF Merryfield,Ilminster,England,
EGDJ,UPV,Upavon Airfield,Upavon,England,
EGDL,LYE,RAF Lyneham,Wiltshire,England,
EGDM,,MoD Boscombe Down,Amesbury,England,
EGDN,,Netheravon Airfield,Netheravon,England,
EGDO,,RNAS Predannack satellite of RNAS Culdrose,Mullion,England,
EGDP,,RNAS/MCA Portland Heliport,Portland Harbour,England,closed 2014
EGDR,,RNAS Culdrose,Helston,England,
EGDS,,Salisbury Plain Airfield,Bulford,England,
EGDT,,RAF Wroughton,Wroughton,England,
EGDV,,Hullavington Airport,Hullavington,England,
EGDW,,RNAS Merryfield,Yeovil,England,
EGDX,,MoD Saint Athan,St Athan,Wales,reassigned to EGSY April 2019
EGDY,YEO,RNAS Yeovilton,Yeovil,England,
EGEA,,Culter Helipad,Aberdeen,Scotland,
EGEC,CAL,Campbeltown Airport,Campbeltown,Scotland,formerly RAF Machrihanish - EGQJ
EGED,EOI,Eday Airport,Eday,Scotland,
EGEF,FIE,Fair Isle Airport,Fair Isle,Scotland,
EGEG,,Glasgow City Heliport,Glasgow,Scotland,
EGEH,WHS,Whalsay Airport,Whalsay,Scotland,
EGEL,COL,Coll Airport,Coll,Scotland,
EGEN,NRL,North Ronaldsay Airport,North Ronaldsay,Scotland,
EGEO,OBN,Oban Airport,Oban,Scotland,
EGEP,PPW,Papa Westray Airport,Papa Westray,Scotland,
EGER,SOY,Stronsay Airport,Stronsay,Scotland,
EGES,NDY,Sanday Airport,Sanday,Scotland,
EGET,LWK,Tingwall Airport,Lerwick,Scotland,
EGEW,WRY,Westray Airport,Westray,Scotland,
EGEY,CSA,Colonsay Airport,Colonsay,Scotland,
EGFA,,Aberporth Airport,Cardigan,Wales,
EGFC,,Cardiff Heliport,Cardiff,Wales,
EGFE,HAW,Haverfordwest Aerodrome,Haverfordwest,Wales,
EGFF,CWL,Cardiff International Airport,Cardiff,Wales,
EGFH,SWS,Swansea Airport,Swansea,Wales,
EGFP,,Pembrey Airport,Pembrey,Wales,
EGGD,BRS,Bristol Airport,Bristol,England,
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,England,
EGGW,LTN,London Luton Airport,London,England,
EGHA,,Compton Abbas Airfield,Shaftesbury,England,
EGHB,,Maypole Airfield,"Maypole, Kent",England,closed 2021
EGHC,LEQ,Land's End Airport,St Just in Penwith,England,
EGHD,PLH,Plymouth City Airport,Plymouth,England,closed 2011
EGHE,ISC,St. Mary's Airport,St. Mary's,England,
EGHF,,Lee on Solent,Lee-on-the-Solent,England,was RNAS Lee-on-Solent (HMS Daedalus)
EGHG,,Yeovil/Westland Airport,Yeovil,England,
EGHH,BOH,Bournemouth Airport,Bournemouth,England,
EGHI,SOU,Southampton Airport,Southampton,England,
EGHJ,BBP,Bembridge Airport,Sandown,England,
EGHK,PZE,Penzance Heliport,Penzance,England,
EGHL,QLA,Lasham Airfield,Basingstoke,England,
EGHM,,Hamble,,,
EGHN,,Isle of Wight/Sandown Airport,Sandown,England,
EGHO,,Thruxton Aerodrome,Andover,England,
EGHP,,Popham Airfield,Popham,England,
EGHQ,NQY,Newquay Cornwall Airport,"St Mawgan, Cornwall",England,
EGHR,,Chichester/Goodwood Airport,"Westhampnett, Chichester",England,
EGHS,,Henstridge Airfield,Henstridge,England,
EGHT,,Tresco Heliport,Tresco,England,
EGHU,,Eaglescott Airfield,Great Torrington,England,
EGHY,,Truro Aerodrome,Truro,England,
EGJA,ACI,Alderney Airport,Alderney,Channel Islands,
EGJB,GCI,Guernsey Airport,Guernsey,Channel Islands,
EGJJ,JER,Jersey Airport,Jersey,Channel Islands,
EGKA,ESH,Shoreham Airport,Shoreham-by-Sea,England,
EGKB,BQH,London Biggin Hill Airport,London,England,
EGKC,,LEC Airfield (Bognor Regis),West Sussex,England,
EGKD,,Albourne,,,
EGKE,,Challock Airport,Challock,England,
EGKF,,RNAS Ford,Ford,England,closed 1958
EGKG,,Goodwood Racecourse Heliport,Goodwood Racecourse,England,
EGKH,,Headcorn Aerodrome,Maidstone,England,
EGKK,LGW,London Gatwick Airport,London,England,
EGKL,,Deanland,Lewes,England,was RAF Deanland
EGKR,KRH,Redhill Aerodrome,Redhill,England,
EGLA,,Bodmin Airfield,Bodmin,England,
EGLB,,Brooklands,,,
EGLC,LCY,London City Airport,London,England,
EGLD,,Denham Aerodrome,Gerrards Cross,England,
EGLF,FAB,Farnborough Airport,Farnborough,England,
EGLG,,Panshanger Airport,Hertford,England,closed 2014; proposed reopening
EGLI,,Isleworth,,,
EGLJ,,Chalgrove Airfield,Oxford,England,
EGLK,BBS,Blackbushe Airport,Camberley,England,
EGLL,LHR,London Heathrow Airport,London,England,
EGLM,,White Waltham Airfield,White Waltham,England,
EGLP,,Brimpton (Wasing Lower Farm),Upper Bucklebury,England,
EGLS,,Old Sarum Airfield,Salisbury,England,
EGLT,,Ascot Racecourse Heliport,Ascot Racecourse,England,
EGLW,,London Heliport,London,England,
EGMA,,Fowlmere Airfield,Cambridge,England,
EGMC,SEN,London Southend Airport,Southend-on-Sea,England,
EGMD,LYX,London Ashford Airport,Lydd,England,
EGMF,,Farthing Corner,Rainham,England,
EGMH,MSE,Kent International Airport,Ramsgate,England,
EGMJ,,Little Gransden Airfield,St Neots,England,
EGMK,LYM,Lympne Airport,"Lympne, Kent",England,
EGML,,Damyns Hall Aerodrome,Upminster,England,
EGMT,,Thurrock Aerodrome,Thurrock,England,
EGNA,,Hucknall Airfield,Nottingham,England,
EGNB,,Brough Aerodrome,Brough,England,
EGNC,CAX,Carlisle Lake District Airport,Carlisle,England,
EGND,,Crosland Moor Airfield,Brough,England,
EGNE,RGA,Gamston Airport,Retford,England,
EGNF,,Netherthorpe Airfield,Worksop,England,
EGNG,,Bagby airfield,Bagby,England,
EGNI,,Skegness (Ingoldmells),,,
EGNH,BLK,Blackpool International Airport,Blackpool,England,
EGNJ,HUY,Humberside Airport,Kingston upon Hull,England,
EGNL,BWF,Walney Aerodrome,Barrow-in-Furness,England,
EGNM,LBA,Leeds Bradford International Airport,West Yorkshire,England,
EGNO,WRT,Warton Aerodrome,"Warton, Lancashire",England,
EGNR,CEG,Hawarden Airport,Chester,England,
EGNS,IOM,Isle of Man Airport,Isle of Man,,
EGNT,NCL,Newcastle Airport,Newcastle upon Tyne,England,
EGNU,,Full Sutton Airfield,York,England,
EGNV,MME,Teesside International Airport,Tees Valley,England,
EGNW,,Wickenby Aerodrome,Lincoln,England,
